No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
17,What is most likely to increase a country’s circular flow of income?,9708_w24_qp_11_17.png,,"A if government takes action to ensure there is no increase in unemployment
B if inflation during the year is 3%
C if there is no increase in real national income
D if there is no redistribution of income",A,Topic 4: The macroeconomy,AS,9708_w24_qp_11,Easy,Recall,9708_w24_qp_11_17
18,"A country with a constant population experiences a 5% increase in its nominal GDP during a year.
In which situation will average living standards be most likely to have increased during the year?",9708_w24_qp_11_18.png,,"A
B
C
D",B,Topic 4: The macroeconomy,AS,9708_w24_qp_11,Medium,Analysis,9708_w24_qp_11_18
19,Which combination correctly identifies the necessary information to construct an accurately labelled graph of a normal short-run aggregate supply curve (SRAS)?,9708_w24_qp_11_19.png,,"A
B
C
D",B,Topic 4: The macroeconomy,AS,9708_w24_qp_11,Medium,Understanding,9708_w24_qp_11_19
20,"A government makes two changes to income tax.
1 The individual tax-free income allowance is increased.
2 The marginal rate of income tax is decreased.
How will these changes affect aggregate demand and aggregate supply in the economy?",9708_w24_qp_11_20.png,,"A
B
C
D",C,Topic 4: The macroeconomy,AS,9708_w24_qp_11,Medium,Analysis,9708_w24_qp_11_20
21,Which supply-side policy is most likely to decrease a government’s budget deficit?,9708_w24_qp_11_21.png,,"A cutting tax rates on company profits
B cutting unemployment benefits
C raising spending on education and training
D raising tax-free income tax allowances",B,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_11,Easy,Recall,9708_w24_qp_11_21
22,Which combination of fiscal and monetary policies would certainly be expansionary?,9708_w24_qp_11_22.png,,"A
B
C
D",C,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_11,Easy,Understanding,9708_w24_qp_11_22
23,The central bank of a country raises interest rates to reduce the general price level. When is this policy likely to have the biggest impact?,9708_w24_qp_11_23.png,,"A
B
C
D",C,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_11,Medium,Understanding,9708_w24_qp_11_23
24,The table shows the trade in goods and services for an economy between 2019 and 2021. What would have most likely caused the change from 2019 to 2021?,9708_w24_qp_11_24.png,,"A increasing domestic unemployment
B increasing domestic rate of income tax
C increasing domestic inflation
D increasing import tariffs",C,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_11,Medium,Understanding,9708_w24_qp_11_24
25,"A government subsidises training to improve the skills of workers in the industrial sector of an economy.
What is the most likely effect on the current account of the balance of payments?",9708_w24_qp_11_25.png,,"A exports fall
B exports rise
C imports fall
D imports rise",B,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_11,Medium,Application,9708_w24_qp_11_25
26,"Using all their resources efficiently, country X can produce 6 million tonnes of wheat or 2 million tonnes of steel whilst country Y can produce 4 million tonnes of wheat or 1 million tonnes of steel.
Based on this information, what does the theory of comparative advantage suggest?",9708_w24_qp_11_26.png,,"A Country X should produce only steel.
B Country X will not gain from international trade.
C Country Y has no comparative advantage.
D Country Y will not gain from international trade.",A,Topic 6: International economic issues,AS,9708_w24_qp_11,Medium,Analysis,9708_w24_qp_11_26
27,"Countries X and Y are trade partners. An increase in which economic indicator in country Y is most likely to cause a fall in the exchange
rate of country X?",9708_w24_qp_11_27.png,,"A economic growth
B inflation rate
C money supply
D trade barriers",D,Topic 6: International economic issues,AS,9708_w24_qp_11,Easy,Recall,9708_w24_qp_11_27
28,Which transaction is not recorded in the current account?,9708_w24_qp_11_28.png,,"A aid received from the government of another country
B exports of raw materials
C investments by a foreign company
D payments of dividends to an overseas investor",C,Topic 6: International economic issues,AS,9708_w24_qp_11,Medium,Analysis,9708_w24_qp_11_28
29,A government decides to place a tariff on imports of raw materials. Which statement about the impact of the tariff is correct?,9708_w24_qp_11_29.png,,"A It will increase costs of production for domestic firms.
B It will increase consumer surplus for domestic consumers.
C It will reduce government revenue.
D There will be a fall in the price of imports and a rise in the demand.",A,Topic 3: Government microeconomic intervention,AS,9708_w24_qp_11,Medium,Understanding,9708_w24_qp_11_29
30,In which situation will a country’s terms of trade improve?,9708_w24_qp_11_30.png,,"A Its imports rise in value less than its exports.
B Its imports rise in volume less than its exports.
C The price of its imports rises by less than the prices of its exports.
D The value of its external payments rises by less than the value of its external receipts.",C,Topic 6: International economic issues,AS,9708_w24_qp_11,Difficult,Application,9708_w24_qp_11_30
1,The production possibility curve for a country is shown. What can be determined from the diagram?,9708_w24_qp_12_1.png,,"A the consumers’ preferred combination of output
B the level of economic growth
C the opportunity cost of manufactured goods in terms of agricultural products
D the preference for present consumption rather than future consumption",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_12,Easy,Analysis,9708_w24_qp_12_1
2,"In a clothing business, after specialisation, real output per worker increased in the first six months but then output per worker began to fall.
What might be the most likely reason for the reduction in productivity?",9708_w24_qp_12_2.png,,"A An increase in output per worker in the long run depends on an increase in pay.
B An increase in output per worker requires more capital.
C Specialisation means workers lose skills.
D Workers get bored if they are repeating the same work.",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_12,Medium,Understanding,9708_w24_qp_12_2
3,"A wine producer and bottler wanted to expand its production significantly. To finance the expansion it offered investors discounts on restaurant meals if they bought 2000 shares in the company.
Which factors of production are most likely to be involved in this expansion?",9708_w24_qp_12_3.png,,"A labour, land, capital and enterprise
B labour, land and capital only
C enterprise and land only
D enterprise only",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_12,Easy,Recall,9708_w24_qp_12_3
4,Which statement is positive?,9708_w24_qp_12_4.png,,"A All taxes should be proportional to income.
B A progressive tax is a fair tax.
C Greater equality of income is desirable.
D Income inequality is decreasing.",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_12,Medium,Analysis,9708_w24_qp_12_4
5,The diagram shows the change in a country’s production possibility curve from PQ to PR. What increases as a result of the change from PQ to PR?,9708_w24_qp_12_5.png,,"A the price of private goods
B the price of public goods
C the opportunity cost of private goods
D the opportunity cost of public goods",D,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_12,Difficult,Application,9708_w24_qp_12_5
6,The graph shows the demand and supply curves for an industry. What would cause a shift in the supply curve from S1 to S2?,9708_w24_qp_12_6.png,,"A an increase in the number of firms in the industry
B an increase in the number of workers employed
C an increase in the productivity of the workforce
D an increase in the wage rates paid to workers",D,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_12,Medium,Understanding,9708_w24_qp_12_6
7,"A firm produces a good using a very labour-intensive process. There is an increase in the price of the good.
Under which conditions will the supply of the firm’s good be most price elastic?",9708_w24_qp_12_7.png,,"A
B
C
D",C,Topic 3: Government microeconomic intervention,AS,9708_w24_qp_12,Easy,Understanding,9708_w24_qp_12_7
8,What is most likely to cause the demand curve of an inferior good to shift to the right?,9708_w24_qp_12_8.png,,"A a rise in consumers’ incomes
B a rise in income tax
C a rise in sales tax
D a rise in the price of a complement",B,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_12,Difficult,Evaluation,9708_w24_qp_12_8
9,The diagram shows four supply curves. Which curve has a price elasticity of supply of 1 for all levels of quantity supplied?,9708_w24_qp_12_9.png,,"A
B
C
D",A,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_12,Easy,Recall,9708_w24_qp_12_9
10,The diagram shows a shift of the supply curve in a market from S1 to S2. How will the consumer surplus and producer surplus change?,9708_w24_qp_12_10.png,9708_w24_qp_12_10_1,"A
B
C
D",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_12,Easy,Understanding,9708_w24_qp_12_10
11,"Good X has a substitute, good Y, and a complement, good Z. The price of good Y decreases and the price of good Z increases.
Why might the equilibrium price of good X remain unchanged?",9708_w24_qp_12_11.png,,"A Producers of good X adopt new technology.
B Producers of good X receive a subsidy.
C Some firms stop production of good X.
D The tax on the production of good X is cut.",C,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_12,Medium,Analysis,9708_w24_qp_12_11
12,"In the diagram, S1 and S2 are the supply curves for an agricultural product in years 1 and 2 respectively. D is the demand curve in years 1 and 2.
In year 1, the government purchased an amount necessary to ensure that the price was OP. The price is held at OP in year 2.
How much more must the government buy in year 2 than it bought in year 1?",9708_w24_qp_12_12.png,,"A WZ 
B XY 
C XZ 
D YZ",D,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_12,Medium,Analysis,9708_w24_qp_12_12
13,Inequality in an economy can be categorised as either income inequality or wealth inequality. What is most likely to cause greater wealth inequality than income inequality?,9708_w24_qp_12_13.png,,"A an increase in indirect taxation
B an increase in the value of property
C a reduction in the minimum wage
D a reduction in the rate of interest paid on savings",B,Topic 3: Government microeconomic intervention,AS,9708_w24_qp_12,Medium,Analysis,9708_w24_qp_12_13
14,"A product with infinite elasticity of supply has sales of 1000 units a week at a price of $1 per unit. Price elasticity of demand is 1.5 over the relevant range.
The government imposes a tax of 10%. What will be the government’s weekly tax revenue from this product?",9708_w24_qp_12_14.png,,"A $15 
B $85 
C $100 
D $150",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_12,Difficult,Evaluation,9708_w24_qp_12_14
15,The table shows the values of Consumer Prices Index (CPI) and a worker’s salary in 2022 and 2023. What is the real value of the worker’s salary in 2023 compared with 2022?,9708_w24_qp_12_15.png,,"A $18 182 
B $22 727 
C $25 000 
D $27 500",B,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_12,Medium,Application,9708_w24_qp_12_15
16,An economy experiences rising unemployment due to incomes falling as a result of a virus pandemic. How would this unemployment be classified?,9708_w24_qp_12_16.png,,"A cyclical
B frictional
C seasonal
D structural",A,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Medium,Application,9708_w24_qp_12_16
17,What is likely to move an economy’s aggregate demand curve to the right?,9708_w24_qp_12_17.png,,"A a fall in income equality
B a fall in incomes abroad
C a fall in the exchange rate
D a fall in the government budget deficit",C,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Medium,Analysis,9708_w24_qp_12_17
18,Which items have to be added to and subtracted from Gross Domestic Product at market prices to calculate the value of Gross Domestic Product at basic prices?,9708_w24_qp_12_18.png,,"A capital consumption and net property income from abroad
B expenditure taxes and capital consumption
C net property income from abroad and subsidies
D subsidies and expenditure taxes",D,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Easy,Recall,9708_w24_qp_12_18
19,"In an economy with an interest rate of 4% per annum, the rate of inflation falls from 5% to 3% per annum. What will be a benefit of this fall?",9708_w24_qp_12_19.png,,"A Menu costs will fall to zero.
B People on fixed incomes will be better off in real terms.
C Savers will gain in real terms.
D The purchasing power of the currency will rise.",C,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Medium,Analysis,9708_w24_qp_12_19
20,What is an example of a macroeconomic policy?,9708_w24_qp_12_20.png,,"A encourage the consumption of merit goods
B reduce pollution in the steel industry
C maintain general price stability
D reduce unemployment in the service sector",C,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Difficult,Evaluation,9708_w24_qp_12_20
21,Which supply-side policy is likely to lower real output before raising it?,9708_w24_qp_12_21.png,,"A increased spending on early years education
B increased spending on infrastructure
C reduced import barriers
D subsidies to exporters",C,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Difficult,Analysis,9708_w24_qp_12_21
22,An economy is in equilibrium at point E on the diagram. The government reduces its expenditure on defence. Which point on the diagram shows the new equilibrium?,9708_w24_qp_12_22.png,,"A
B
C
D",A,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Medium,Understanding,9708_w24_qp_12_22
23,The number of people employed in a country and the level of unemployment both decrease. What could explain this?,9708_w24_qp_12_23.png,,"A net inward immigration
B an increase in the level of unemployment benefits
C an increase in the age at which state pensions are payable
D an increase in the number of university students",D,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Difficult,Application,9708_w24_qp_12_23
24,Which circumstances would most help a firm to gain from a depreciation of the exchange rate?,9708_w24_qp_12_24.png,,"A It sells mainly abroad and relies on domestic suppliers for inputs.
B It sells mainly abroad and relies on foreign suppliers for inputs.
C It sells mainly in its home market and relies on domestic suppliers for inputs.
D It sells mainly in its home market and relies on foreign suppliers for inputs.",A,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Easy,Recall,9708_w24_qp_12_24
25,"A country has a floating exchange rate. Its current account on the balance of payments moves from a surplus to a deficit. Which rate is likely to increase in the short run as a consequence of this worsening of its current
account?",9708_w24_qp_12_25.png,,"A economic growth rate
B exchange rate
C interest rate
D unemployment rate",D,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_12,Difficult,Evaluation,9708_w24_qp_12_25
26,Which policy is most likely to reduce a balance of payments deficit without causing inflation?,9708_w24_qp_12_26.png,,"A decreased import quotas
B depreciation of currency
C higher interest rates
D decreased import tariffs",C,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_12,Difficult,Analysis,9708_w24_qp_12_26
27,"The table shows the average price of exports and imports. Which combination of changes in export prices and import prices could result in a country’s terms
of trade increasing from 100 to 110?",9708_w24_qp_12_27.png,,"A
B
C
D",D,Topic 6: International economic issues,AS,9708_w24_qp_12,Medium,Understanding,9708_w24_qp_12_27
28,What is not an example of protectionism? ,9708_w24_qp_12_28.png,,"A the European Union (EU) requiring goods imported into member states to meet safety standards
B the Pakistan government increasing the rate of goods and services tax (GST) on some exported goods from 2% to 5%
C the Nigeria government banning the import of packaged sugar
D the US imposing a 35% tariff on tyres imported from China",B,Topic 6: International economic issues,AS,9708_w24_qp_12,Medium,Understanding,9708_w24_qp_12_28
29,"Turkey imported $220 million worth of goods and services. Turkey exported $12 million worth of goods and services during the same period. Its net income was –$15 million.
What is Turkey’s current account balance?",9708_w24_qp_12_29.png,,"A –$223 million
B –$217 million
C +$208 million
D +$247 million",A,Topic 4: The macroeconomy,AS,9708_w24_qp_12,Difficult,Analysis,9708_w24_qp_12_29
30,"The table shows the exchange rate for national currencies per US dollar. Which currency has the smallest percentage appreciation against the US dollar between 2019
and 2020?",9708_w24_qp_12_30.png,,"A
B
C
D",A,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_12,Difficult,Evaluation,9708_w24_qp_12_30
1,The diagram shows a country’s production possibility curve. What can be concluded from the diagram,9708_w24_qp_13_1.png,,"A Food and drink are normal goods.
B The country is self-sufficient in the production of food and drink.
C The opportunity cost of food falls as more drink is produced.
D There is a constant opportunity cost between food and drink.",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_1
2,Which type of good does not consume scarce resources?,9708_w24_qp_13_2.png,,"A economic good
B free good
C merit good
D public good",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_13,Easy,Recall,9708_w24_qp_13_2
3,The factors of production earn different rewards. What identifies the correct economic term for these rewards?,9708_w24_qp_13_3.png,,"A capital – surpluses
B enterprise – dividends
C labour – interest
D land – rents",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_13,Easy,Recall,9708_w24_qp_13_3
4,What is most likely to be an advantage of the division of labour?,9708_w24_qp_13_4.png,,"A an increase in labour force creativity
B an increase in labour productivity
C an increase in workforce flexibility
D an increase in worker satisfaction",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w24_qp_13,Easy,Understanding,9708_w24_qp_13_4
5,"A government wishes to encourage the consumption of a merit good and reduce the consumption of a demerit good.
Which policy should it adopt towards each good?",9708_w24_qp_13_5.png,,"A
B
C
D",B,Topic 3: Government microeconomic intervention,AS,9708_w24_qp_13,Medium,Application,9708_w24_qp_13_5
6,"Shoe manufacturers often use leather to make their most expensive shoes. Due to a world shortage of leather, the price of leather has risen.
What will be the effect of this price change?",9708_w24_qp_13_6.png,,"A The demand curve for leather shoes will shift to the left.
B The demand curve for a substitute for leather shoes will shift to the right.
C The supply curve for leather shoes will shift to the right.
D The supply curve for a substitute for leather to make expensive shoes will shift to the right.",B,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_6
7,"The Chinese government relaxed controls on private house ownership. Private house ownership rose sharply, replacing demand for apartments rented from the state.
What would have been most likely to happen to private house prices and the rents of apartments?",9708_w24_qp_13_7.png,,"A
B
C
D",C,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_7
8,"The supply, S, of a product is determined by the equation S = 10 + 10P, when P is the price of the product. What is the price elasticity of supply when the price changes from $1 to $2?",9708_w24_qp_13_8.png,,"A 0 
B 0.5 
C 1.0 
D 2.0",B,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_13,Difficult,Application,9708_w24_qp_13_8
9,A good has the following elasticity values. Which statement is correct?,9708_w24_qp_13_9.png,,"A The good is a complement and inferior.
B The good is a complement and normal.
C The good is a substitute and inferior.
D The good is a substitute and normal.",C,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_9
10,Different areas on the diagram represent different aspects of a market. Which row correctly identifies the three variables shown?,9708_w24_qp_13_10.png,9708_w24_qp_13_10_1.png,"A
B
C
D",B,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_10
11,Which combination of the classification of a good and market change will cause the demand curve for the good to shift to the right?,9708_w24_qp_13_11.png,,"A
B
C
D",A,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_11
12,Which policy is most likely to solve the free rider problem caused by public goods?,9708_w24_qp_13_12.png,,"A an advertising campaign
B a direct provision by the government
C a minimum price
D a tax on a substitute good",B,Topic 3: Government microeconomic intervention,AS,9708_w24_qp_13,Medium,Understanding,9708_w24_qp_13_12
13,"Very low interest rates in an economy encourage economic growth and cause a large increase in house prices.
Which group of people is most likely to experience a fall in income and an increase in wealth as a result of these changes?",9708_w24_qp_13_13.png,,"A retired people living in rented houses
B retired people who own their houses
C young people buying their own houses
D young people living with their parents",B,Topic 4: The macroeconomy,AS,9708_w24_qp_13,Difficult,Evaluation,9708_w24_qp_13_13
14,"A large-scale farming enterprise uses inputs of labour and capital equipment that are substitutes. If the government introduces a policy to subsidise capital equipment, how would this affect the factor inputs?",9708_w24_qp_13_14.png,,,A,Topic 2: The price system and the microeconomy,AS,9708_w24_qp_13,Medium,Application,9708_w24_qp_13_14
15,A country experienced an annual deflation rate of 2% for four successive years. Which statement is correct for the four-year period?,9708_w24_qp_13_15.png,,"A The price level fell by 8%.
B The price level fell by less than 8%.
C The real value of money fell by 8%.
D The real value of money fell by less than 8%.",B,Topic 4: The macroeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_15
16,"In the circular flow of income model of an economy, Y, C, I, G, X, S, T and M represent total income, consumption, investment, government expenditure, exports, saving, taxation and imports
respectively. Which statement is correct?",9708_w24_qp_13_16.png,,"A At equilibrium, the levels of Y and C are always the same.
B Governments always adjust G so that the economy is in equilibrium.
C If I is not equal to S, it is still possible for the national income to be in equilibrium.
D If the national income is in equilibrium, X must be equal to M.",C,Topic 4: The macroeconomy,AS,9708_w24_qp_13,Medium,Understanding,9708_w24_qp_13_16
17,What leads to a rise in frictional unemployment?,9708_w24_qp_13_17.png,,"A an economy moving into a period of recession
B replacement of workers with computers in the service sector
C a change from an agriculturally based economy to an industrial economy
D a rise in the number of workers leaving one job to look for another job",D,Topic 4: The macroeconomy,AS,9708_w24_qp_13,Easy,Recall,9708_w24_qp_13_17
18,The information shows data from a country’s national income accounts. What can be concluded from the income accounts?,9708_w24_qp_13_18.png,9708_w24_qp_13_18_1.png,"A
B
C
D",B,Topic 4: The macroeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_18
19,"A government is considering building a large hospital. The impact on the country’s price level will depend partly on the amount of expensive raw materials the country imports for the hospital and
the level of unemployment in the country. Which combination of imports of materials for the hospital and the level of unemployment is most likely to lead to the largest rise in the price level?",9708_w24_qp_13_19.png,,"A
B
C
D",B,Topic 4: The macroeconomy,AS,9708_w24_qp_13,Difficult,Evaluation,9708_w24_qp_13_19
20,"If interest rates are reduced, what is most likely to decrease?",9708_w24_qp_13_20.png,,"A borrowing by firms
B consumer spending
C import prices
D export prices",D,Topic 4: The macroeconomy,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_20
21,Supply-side policy often has fiscal consequences. Which statement is not correct?,9708_w24_qp_13_21.png,,"A Increased government spending supporting technical progress has beneficial long-term supply-side effects but may have short-term inflationary consequences.
B Increased government expenditure on training increases a country’s long-run aggregate supply (LRAS) and also has an expansionary effect on aggregate demand (AD).
C Reduced government infrastructure spending reduces an economy’s LRAS and has a short-term expansionary effect on AD.
D Reduced rates of tax on higher incomes increases an economy’s LRAS and has an expansionary effect on AD.",C,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_13,Difficult,Evaluation,9708_w24_qp_13_21
22,Changes in fiscal policy can affect the distribution of income and wealth. Which combination of fiscal policy would most likely be regressive?,9708_w24_qp_13_22.png,,"A a fall in the lowest level of income when income tax has to be paid and a fall in the rate of inheritance tax
B a fall in the charge made for visits to a doctor and a rise in the level of unemployment benefit
C a rise in the rate of income tax charged at higher levels of income and a rise in the standard rate of corporation tax
D a rise in the standard rate of income tax and a fall in the standard rate of goods and services tax",A,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_22
23,What does it mean when a government has a budget surplus?,9708_w24_qp_13_23.png,,"A Government revenue exceeds expenditure.
B Imports exceed exports.
C The government has an expansionary fiscal policy.
D The national debt is increasing.",A,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_13,Easy,Recall,9708_w24_qp_13_23
24,A country subsidises domestic production of manufactured goods. What is the most likely outcome?,9708_w24_qp_13_24.png,,"A a rise in economic growth
B a rise in imports of manufactured goods
C a rise in the rate of inflation
D a rise in unemployment",A,Topic 5: Government macroeconomics intervention,AS,9708_w24_qp_13,Medium,Understanding,9708_w24_qp_13_24
25,What is not a valid explanation of why a government might allow a deficit on the balance of payments current account to continue?,9708_w24_qp_13_25.png,,"A The balance of payments account must always balance.
B Foreign direct investment might help to finance the deficit.
C The country may have a larger surplus on the other parts of its balance of payments account.
D The standard of living is increased if the level of cheap food imports is significant.",A,Topic 6: International economic issues,AS,9708_w24_qp_13,Medium,Understanding,9708_w24_qp_13_25
26,A country currently producing at point X on its production possibility curve decides to specialise in the manufacture of cars and import trucks. It finds it can import one truck in exchange for four cars. What is the result in the domestic market if it exports all the extra cars?,9708_w24_qp_13_26.png,,"A 250 extra trucks
B 1000 extra trucks
C 1250 extra trucks
D 2000 extra trucks",A,Topic 6: International economic issues,AS,9708_w24_qp_13,Difficult,Application,9708_w24_qp_13_26
27,What is most likely to cause a current account deficit?,9708_w24_qp_13_27.png,,"A a recession in the domestic economy
B a relatively high rate of inflation
C an undervalued exchange rate
D high labour productivity",B,Topic 6: International economic issues,AS,9708_w24_qp_13,Medium,Understanding,9708_w24_qp_13_27
28,"Two statements describing forms of protectionism a government can use are listed.
1 There is a total ban on imports.
2 All imported goods have to be of a specified standard.
Which combination correctly describes these two statements?",9708_w24_qp_13_28.png,,"A
B
C
D",C,Topic 6: International economic issues,AS,9708_w24_qp_13,Easy,Understanding,9708_w24_qp_13_28
29,When is there an improvement in a country’s terms of trade?,9708_w24_qp_13_29.png,,"A when the price of exports falls more than the price of imports
B when there is no change in the price of exports but a fall in the price of imports
C when the value of exports increases relative to the total value of imports
D when the volume of exports increases relative to the total volume of imports",B,Topic 6: International economic issues,AS,9708_w24_qp_13,Medium,Recall,9708_w24_qp_13_29
30,What is likely to happen if there is a rise in the international value of a country’s currency?,9708_w24_qp_13_30.png,,"A a fall in the foreign currency price of its exports
B a fall in the volume of its exports
C a rise in the domestic currency price of its imports
D a rise in the domestic price level",B,Topic 6: International economic issues,AS,9708_w24_qp_13,Medium,Analysis,9708_w24_qp_13_30
1,Which statement about a market economy is not correct?,9708_m25_qp_12_1.png,,"A Competition is promoted among firms which can increase productive efficiency.
B Immobility of the factors of production can lead to allocative inefficiency.
C Price always reflects all the costs and all the benefits associated with production.
D The entrepreneur is encouraged to innovate and take risks, motivated by profit.",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_m25_qp_12,Easy,Understanding,9708_m25_qp_12_1
2,"To increase production, a firm in industry X needs to install capital equipment, while a firm in industry Y needs to research and introduce a new technology.
What time periods are illustrated by these cases?",9708_m25_qp_12_2.png,,,C,Topic 2: the price system and the microeconomy,AS,9708_m25_qp_12,Medium,Understanding,9708_m25_qp_12_2
3,The production possibility curve shows the maximum potential output of apples and pears for an economy using current resources. Which pair of positions identifies an efficient and an inefficient outcome?,9708_m25_qp_12_3.png,,"A W and Y 
B W and X 
C X and Z 
D Y and Z",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_m25_qp_12,Easy,Understanding,9708_m25_qp_12_3
4,"The price of a good rises by 5% and the quantity of it demanded rises by 3%. At the same time, the incomes of consumers of the good rise by 4%.
The law of demand appears not to be working in this case. What is the most likely explanation?",9708_m25_qp_12_4.png,,"A Other things did not remain equal.
B The demand for the good was price inelastic.
C The real price of the good fell.
D The time period was the very short run.",A,Topic 2: the price system and the microeconomy,AS,9708_m25_qp_12,Easy,Application,9708_m25_qp_12_4
5,When is division of labour likely to be most effective?,9708_m25_qp_12_5.png,,"A in a large market with stable demand
B in a market where consumers prefer a handmade product over a product made using machines
C in a market where consumers require a variety of goods
D in a small market where consumers require a custom-made product",A,Topic 2: the price system and the microeconomy,AS,9708_m25_qp_12,Medium,Analysis,9708_m25_qp_12_5
6,What will influence the value of the price elasticity of supply of a good?,9708_m25_qp_12_6.png,,"A the level of producer surplus
B the time period under consideration
C the total income spent on the good
D whether the good is a necessity
",B,Topic 2: the price system and the microeconomy,AS,9708_m25_qp_12,Medium,Understanding,9708_m25_qp_12_6
7,The diagram represents the market for a good. Which statement is correct?,9708_m25_qp_12_7.png,,"A OX represents the price above which no producer wishes to stay in the market.
B OZ represents the minimum price consumers are prepared to pay.
C PYZ represents the total consumer surplus.
D XYZ represents the total producer surplus.",D,Topic 2: the price system and the microeconomy,AS,9708_m25_qp_12,Difficult,Application,9708_m25_qp_12_7
8,"The diagram shows the impact on equilibrium due to an increase in the costs of production. The original price is $72. The price elasticity of demand is –2.0. What is the new equilibrium price, P2?",9708_m25_qp_12_8.png,,"A $81.00 
B $84.00 
C $92.00 
D $108.00",A,Topic 2: the price system and the microeconomy,AS,9708_m25_qp_12,Medium,Analysis,9708_m25_qp_12_8
9,What is likely to have a greater effect on an individual demand curve than on a market demand curve?,9708_m25_qp_12_9.png,,"A changing weather patterns
B government policy to promote consumption
C growth in population
D more expensive substitutes",D,Topic 2: the price system and the microeconomy,AS,9708_m25_qp_12,Easy,Recall,9708_m25_qp_12_9
10,"The quantity demanded of a product is given by QD = 400 – 10P, when P is the price in dollars. Supply of the product is fixed at 100 units. If the price is $20, what will be the position in the market?",9708_m25_qp_12_10.png,,"A It will be in disequilibrium with excess demand of 100 units.
B It will be in disequilibrium with excess supply of 100 units.
C It will be in equilibrium with 100 units traded.
D It will be in equilibrium with 200 units traded.",A,Topic 3: Government microeconomic intervention,AS,9708_m25_qp_12,Medium,Analysis,9708_m25_qp_12_10
11,"A decrease in the quantity demanded of a product results in a proportionate decrease in sales revenues.
What is true about its price elasticity of demand?",9708_m25_qp_12_11.png,,"A It is between zero and one.
B It is infinite.
C It is unitary.
D It is zero.",B,Topic 3: Government microeconomic intervention,AS,9708_m25_qp_12,Easy,Recall,9708_m25_qp_12_11
12,A government may use a range of methods to intervene in a market to affect both demand and supply. What is a method which will shift the demand curve for a good?,9708_m25_qp_12_12.png,,"A an indirect tax
B a subsidy
C direct provision
D provision of information",D,Topic 3: Government microeconomic intervention,AS,9708_m25_qp_12,Difficult,Analysis,9708_m25_qp_12_12
